BIO F110,BIOLOGY LABORATORY,H0565,H0565,,
BIO F110,BIOLOGY LABORATORY,41320190001,H0565,,
BIO F110,BIOLOGY LABORATORY,41320200415,H0565,,
BIO F110,BIOLOGY LABORATORY,41320200414,H0565,,
BIO F110,BIOLOGY LABORATORY,41320180002,H0565,,
BIO F110,BIOLOGY LABORATORY,41320190405,H0565,,
BIO F110,BIOLOGY LABORATORY,41320170442,H0565,,
BIO F111,GENERAL BIOLOGY,H0564,H0564,,
BIO F111,GENERAL BIOLOGY,H0593,H0564,,
BIO F111,GENERAL BIOLOGY,H0752,H0564,,
BIO F111,GENERAL BIOLOGY,H0576,H0564,,
BIO F111,GENERAL BIOLOGY,H0583,H0564,,
BIO F111,GENERAL BIOLOGY,H0564,H0564,,
BIO F111,GENERAL BIOLOGY,H0593,H0564,,
BITS F110,ENGINEERING GRAPHICS,H0071,H0613,,
BITS F110,ENGINEERING GRAPHICS,41320200016,H0613,,
BITS F110,ENGINEERING GRAPHICS,41320190418,H0613,,
BITS F110,ENGINEERING GRAPHICS,41320190417,H0613,,
BITS F110,ENGINEERING GRAPHICS,41320210018,H0613,,
BITS F110,ENGINEERING GRAPHICS,41320210019,H0613,,
BITS F110,ENGINEERING GRAPHICS,41320210438,H0613,,
BITS F110,ENGINEERING GRAPHICS,H0477,H0613,,
BITS F110,ENGINEERING GRAPHICS,41320200432,H0613,,
BITS F110,ENGINEERING GRAPHICS,41320190419,H0613,,
BITS F110,ENGINEERING GRAPHICS,41320200017,H0613,,
BITS F110,ENGINEERING GRAPHICS,41320210017,H0613,,
BITS F110,ENGINEERING GRAPHICS,H0071,H0613,,
BITS F110,ENGINEERING GRAPHICS,H0776,H0613,,
BITS F110,ENGINEERING GRAPHICS,41320180462,H0613,,
BITS F110,ENGINEERING GRAPHICS,41320210020,H0613,,
BITS F110,ENGINEERING GRAPHICS,41320210437,H0613,,
BITS F111,THERMODYNAMICS,H0330,H0330,,
BITS F111,THERMODYNAMICS,H0771,H0330,,
BITS F111,THERMODYNAMICS,H0760,H0330,,
BITS F111,THERMODYNAMICS,H0005,H0330,,
BITS F111,THERMODYNAMICS,H0344,H0330,,
BITS F111,THERMODYNAMICS,H0025,H0330,,
BITS F112,TECHNICAL REPORT WRITING,H0296,H0423,,
BITS F112,TECHNICAL REPORT WRITING,H0773,H0423,,
BITS F112,TECHNICAL REPORT WRITING,H0101,H0423,,
BITS F113,GENERAL MATHEMATICS,H0749,H0749,,
BITS F113,GENERAL MATHEMATICS,41320210043,H0749,,
CHEM F110,CHEMISTRY LABORATORY,H0190,H0190,,
CHEM F110,CHEMISTRY LABORATORY,H0004,H0190,,
CHEM F110,CHEMISTRY LABORATORY,H0380,H0190,,
CHEM F110,CHEMISTRY LABORATORY,41320210015,H0190,,
CHEM F110,CHEMISTRY LABORATORY,H0729,H0190,,
CHEM F110,CHEMISTRY LABORATORY,H0131,H0190,,
CHEM F110,CHEMISTRY LABORATORY,H0090,H0190,,
CHEM F110,CHEMISTRY LABORATORY,H0672,H0190,,
CHEM F111,GENERAL CHEMISTRY,H0778,H0778,,
CHEM F111,GENERAL CHEMISTRY,H0184,H0778,,
CHEM F111,GENERAL CHEMISTRY,H0778,H0778,,
CHEM F111,GENERAL CHEMISTRY,H0184,H0778,,
CHEM F111,GENERAL CHEMISTRY,H0785,H0778,,
CHEM F111,GENERAL CHEMISTRY,H0046,H0778,,
CHEM F111,GENERAL CHEMISTRY,H0794,H0778,,
CS F111,COMPUTER PROGRAMMING,H0289,H0289,,
CS F111,COMPUTER PROGRAMMING,H0826,H0289,,
CS F111,COMPUTER PROGRAMMING,41320190423,H0289,,
CS F111,COMPUTER PROGRAMMING,H0826,H0289,,
CS F111,COMPUTER PROGRAMMING,41320180421,H0289,,
CS F111,COMPUTER PROGRAMMING,H0750,H0289,,
CS F111,COMPUTER PROGRAMMING,41320190423,H0289,,
CS F111,COMPUTER PROGRAMMING,41320210023,H0289,,
CS F111,COMPUTER PROGRAMMING,H0547,H0289,,
CS F111,COMPUTER PROGRAMMING,H0607,H0289,,
CS F111,COMPUTER PROGRAMMING,41320210023,H0289,,
CS F111,COMPUTER PROGRAMMING,41320210022,H0289,,
CS F111,COMPUTER PROGRAMMING,H0750,H0289,,
EEE F111,ELECTRICAL SCIENCES,H0624,H0624,,
EEE F111,ELECTRICAL SCIENCES,H0624,H0624,,
EEE F111,ELECTRICAL SCIENCES,H0624,H0624,,
EEE F111,ELECTRICAL SCIENCES,H0748,H0624,,
EEE F111,ELECTRICAL SCIENCES,H0638,H0624,,
EEE F111,ELECTRICAL SCIENCES,H0638,H0624,,
MATH F111,MATHEMATICS I,H0410,H0207,,
MATH F111,MATHEMATICS I,H0712,H0207,,
MATH F111,MATHEMATICS I,H0680,H0207,,
MATH F111,MATHEMATICS I,H0207,H0207,,
MATH F111,MATHEMATICS I,H0354,H0207,,
MATH F111,MATHEMATICS I,H0631,H0207,,
MATH F111,MATHEMATICS I,41320210066,H0207,,
MATH F111,MATHEMATICS I,41320200059,H0207,,
MATH F111,MATHEMATICS I,41320200039,H0207,,
MATH F111,MATHEMATICS I,41320200035,H0207,,
MATH F111,MATHEMATICS I,41320210443,H0207,,
MATH F111,MATHEMATICS I,41320210425,H0207,,
MATH F111,MATHEMATICS I,41320210423,H0207,,
MATH F111,MATHEMATICS I,41320210422,H0207,,
MATH F111,MATHEMATICS I,41320210441,H0207,,
MATH F111,MATHEMATICS I,41320210424,H0207,,
ME F112,WORKSHOP PRACTICE,H0657,H0657,,
