F109,BITS F464,MACHINE LEARNING,36,36,199,17-05-22|9:00|12:00,FULL
F201,BITS F464,MACHINE LEARNING,28,28,199,17-05-22|9:00|12:00,FULL
F202,BITS F464,MACHINE LEARNING,28,28,199,17-05-22|9:00|12:00,FULL
G105,BITS G661,RESEARCH METHODOLOGY I,37,2,2,14-05-22|9:00|12:00,FULL
I212,CE F241,ANALYSIS OF STRUCTURES,28,20,61,19-05-22|9:00|12:00,FULL
I213,CE F241,ANALYSIS OF STRUCTURES,28,20,61,19-05-22|9:00|12:00,FULL
I221,CE F241,ANALYSIS OF STRUCTURES,28,21,61,19-05-22|9:00|12:00,FULL
I213,CE F242,CONSTRUCTION PLAN & TECH,28,20,60,06-05-22|9:00|12:00,FULL
I221,CE F242,CONSTRUCTION PLAN & TECH,28,20,60,06-05-22|9:00|12:00,FULL
I222,CE F242,CONSTRUCTION PLAN & TECH,28,20,60,06-05-22|9:00|12:00,FULL
I114,CE F243,SOIL MECHANICS,28,20,60,11-05-22|14:00|17:00,FULL
I122,CE F243,SOIL MECHANICS,28,20,60,11-05-22|14:00|17:00,FULL
I210,CE F243,SOIL MECHANICS,28,20,60,11-05-22|14:00|17:00,FULL
I210,CE F244,HIGHWAY ENGINEERING,28,20,60,17-05-22|14:00|17:00,FULL
I211,CE F244,HIGHWAY ENGINEERING,28,20,60,17-05-22|14:00|17:00,FULL
I212,CE F244,HIGHWAY ENGINEERING,28,20,60,17-05-22|14:00|17:00,FULL
J121,CE F320,DESIGN OF REINFORCED CONCRETE,28,1,1,17-05-22|14:00|17:00,FULL
J107,CE F321,ENGINEERING HYDROLOGY,28,28,83,18-05-22|14:00|17:00,FULL
J115,CE F321,ENGINEERING HYDROLOGY,28,28,83,18-05-22|14:00|17:00,FULL
J119,CE F321,ENGINEERING HYDROLOGY,28,27,83,18-05-22|14:00|17:00,FULL
G206,CE F342,WATER & WASTEWATER TREAT,37,28,83,12-05-22|14:00|17:00,FULL
G207,CE F342,WATER & WASTEWATER TREAT,37,28,83,12-05-22|14:00|17:00,FULL
G208,CE F342,WATER & WASTEWATER TREAT,42,27,83,12-05-22|14:00|17:00,FULL
I111,CE F343,DES OF STEEL STRUCTURES,28,28,80,23-05-22|9:00|12:00,FULL
I112,CE F343,DES OF STEEL STRUCTURES,28,28,80,23-05-22|9:00|12:00,FULL
I113,CE F343,DES OF STEEL STRUCTURES,28,24,80,23-05-22|9:00|12:00,FULL
G202,CE F415,DES OF PREST CONC STRUCT,28,31,31,10-05-22|14:00|17:00,FULL
D208A,CE F416,COMP APPL IN CIVIL ENGG,42,5,5,11-05-22|9:00|12:00,FULL
F208,CE F425,AIRPORT RAIL & WATERWAYS,60,58,58,06-05-22|14:00|17:00,FULL
G103,CE F426,GEOSYN & REIN SOIL STR,42,21,21,06-05-22|14:00|17:00,FULL
D208,CE F432,STRUCTURAL DYNAMICS,37,37,37,09-05-22|14:00|17:00,FULL
I112,CE F435,INTRODUCTION TO FEM,28,16,16,19-05-22|14:00|17:00,FULL
F205,CE G518,PAVEMENT ANALYSIS & DES,40,15,15,07-05-22|9:00|12:00,FULL
F203,CE G566,PUBLIC TRANSPORTATION,28,15,15,10-05-22|9:00|12:00,FULL
F204,CE G570,HIGHWAY CONSTRUCTION TECHNOLOG,28,15,15,12-05-22|9:00|12:00,FULL
G107,CE G575,FREIGHT TRANSPORTATION,37,15,15,14-05-22|9:00|12:00,FULL
G203,CE G613,ADV CONCRETE STRUCTURES,37,20,20,17-05-22|9:00|12:00,FULL
F202,CE G615,EARTHQUAKE ENGINEERING,28,20,20,10-05-22|9:00|12:00,FULL
F201,CE G616,BRIDGE ENGINEERING,28,21,21,20-05-22|9:00|12:00,FULL
I222,CHE F241,HEAT TRANSFER,28,20,60,19-05-22|9:00|12:00,FULL
J107,CHE F241,HEAT TRANSFER,28,20,60,19-05-22|9:00|12:00,FULL
J115,CHE F241,HEAT TRANSFER,28,20,60,19-05-22|9:00|12:00,FULL
I111,CHE F242,NUM METHOD FOR CHEM ENGG,28,20,61,11-05-22|14:00|17:00,FULL
I112,CHE F242,NUM METHOD FOR CHEM ENGG,28,20,61,11-05-22|14:00|17:00,FULL
I113,CHE F242,NUM METHOD FOR CHEM ENGG,28,21,61,11-05-22|14:00|17:00,FULL
I213,CHE F243,MATERIAL SCIENCE & ENGG,28,20,59,17-05-22|14:00|17:00,FULL
I221,CHE F243,MATERIAL SCIENCE & ENGG,28,20,59,17-05-22|14:00|17:00,FULL
I222,CHE F243,MATERIAL SCIENCE & ENGG,28,19,59,17-05-22|14:00|17:00,FULL
I210,CHE F244,SEPARATION PROCESSES I,28,20,61,06-05-22|9:00|12:00,FULL
I211,CHE F244,SEPARATION PROCESSES I,28,20,61,06-05-22|9:00|12:00,FULL
I212,CHE F244,SEPARATION PROCESSES I,28,21,61,06-05-22|9:00|12:00,FULL
J120,CHE F342,PROCESS DYN & CONTROL,28,28,76,18-05-22|14:00|17:00,FULL
J121,CHE F342,PROCESS DYN & CONTROL,28,28,76,18-05-22|14:00|17:00,FULL
J206,CHE F342,PROCESS DYN & CONTROL,28,20,76,18-05-22|14:00|17:00,FULL
I211,CHE F343,PROCESS DES PRINCIPLE II,28,28,75,23-05-22|9:00|12:00,FULL
I212,CHE F343,PROCESS DES PRINCIPLE II,28,28,75,23-05-22|9:00|12:00,FULL
I213,CHE F343,PROCESS DES PRINCIPLE II,28,19,75,23-05-22|9:00|12:00,FULL
D208,CHE F418,MODEL & SIMU IN CHE ENGG,37,37,37,11-05-22|9:00|12:00,FULL
F207,CHE F419,CHEMICAL PROCESS TECH,55,52,52,06-05-22|14:00|17:00,FULL
G106,CHE F433,CORROSION ENGINEERING,37,37,60,17-05-22|9:00|12:00,FULL
G107,CHE F433,CORROSION ENGINEERING,37,23,60,17-05-22|9:00|12:00,FULL
G205,CHE F498,COLLOIDS AND INTERFACE ENGINEE,37,35,35,19-05-22|14:00|17:00,FULL
